Visitor,Visitor pts,Home,Home pts,Winner
Memphis Grizzlies,129,Utah Jazz,141,1
Milwaukee Bucks,113,Miami Heat,84,0
Phoenix Suns,95,Los Angeles Lakers,109,1
Denver Nuggets,120,Portland Trail Blazers,115,0
New York Knicks,94,Atlanta Hawks,105,1
Brooklyn Nets,119,Boston Celtics,125,1
Los Angeles Clippers,118,Dallas Mavericks,108,0
Milwaukee Bucks,120,Miami Heat,103,0
Denver Nuggets,95,Portland Trail Blazers,115,1
Philadelphia 76ers,132,Washington Wizards,103,0
Utah Jazz,121,Memphis Grizzlies,111,0
New York Knicks,96,Atlanta Hawks,113,1
Phoenix Suns,100,Los Angeles Lakers,92,0
Brooklyn Nets,141,Boston Celtics,126,0
Los Angeles Clippers,106,Dallas Mavericks,81,0
Philadelphia 76ers,114,Washington Wizards,122,1
Utah Jazz,120,Memphis Grizzlies,113,0
Boston Celtics,109,Brooklyn Nets,123,1
Portland Trail Blazers,140,Denver Nuggets,147,1
Los Angeles Lakers,85,Phoenix Suns,115,1
Washington Wizards,112,Philadelphia 76ers,129,1
Atlanta Hawks,103,New York Knicks,89,0
Memphis Grizzlies,110,Utah Jazz,126,1
Dallas Mavericks,105,Los Angeles Clippers,100,0
Denver Nuggets,126,Portland Trail Blazers,115,0
Phoenix Suns,113,Los Angeles Lakers,100,0
Los Angeles Clippers,104,Dallas Mavericks,97,0
Milwaukee Bucks,107,Brooklyn Nets,115,1
Atlanta Hawks,128,Philadelphia 76ers,124,0
Dallas Mavericks,111,Los Angeles Clippers,126,1
Milwaukee Bucks,86,Brooklyn Nets,125,1
Denver Nuggets,105,Phoenix Suns,122,1
Atlanta Hawks,102,Philadelphia 76ers,118,1
Los Angeles Clippers,109,Utah Jazz,112,1
Denver Nuggets,98,Phoenix Suns,123,1
Brooklyn Nets,83,Milwaukee Bucks,86,1
Los Angeles Clippers,111,Utah Jazz,117,1
Philadelphia 76ers,127,Atlanta Hawks,111,0
Phoenix Suns,116,Denver Nuggets,102,0
Utah Jazz,106,Los Angeles Clippers,132,1
Brooklyn Nets,96,Milwaukee Bucks,107,1
Phoenix Suns,125,Denver Nuggets,118,0
Philadelphia 76ers,100,Atlanta Hawks,103,1
Utah Jazz,104,Los Angeles Clippers,118,1
Milwaukee Bucks,108,Brooklyn Nets,114,1
Atlanta Hawks,109,Philadelphia 76ers,106,0
Los Angeles Clippers,119,Utah Jazz,111,0
Brooklyn Nets,89,Milwaukee Bucks,104,1
Philadelphia 76ers,104,Atlanta Hawks,99,0
Utah Jazz,119,Los Angeles Clippers,131,1
Milwaukee Bucks,115,Brooklyn Nets,111,0
Los Angeles Clippers,114,Phoenix Suns,120,1
Atlanta Hawks,103,Philadelphia 76ers,96,0
Los Angeles Clippers,103,Phoenix Suns,104,1
Atlanta Hawks,116,Milwaukee Bucks,113,0
Phoenix Suns,92,Los Angeles Clippers,106,1
Atlanta Hawks,91,Milwaukee Bucks,125,1
Phoenix Suns,84,Los Angeles Clippers,80,0
Milwaukee Bucks,113,Atlanta Hawks,102,0
Los Angeles Clippers,116,Phoenix Suns,102,0
Milwaukee Bucks,88,Atlanta Hawks,110,1
Phoenix Suns,130,Los Angeles Clippers,103,0
Atlanta Hawks,112,Milwaukee Bucks,123,1
Milwaukee Bucks,118,Atlanta Hawks,107,0
Milwaukee Bucks,105,Phoenix Suns,118,1
Milwaukee Bucks,108,Phoenix Suns,118,1
Phoenix Suns,100,Milwaukee Bucks,120,1
Phoenix Suns,103,Milwaukee Bucks,109,1
Milwaukee Bucks,123,Phoenix Suns,119,0
